Asset ID,Device Category,Model,Manufacturer,Location,EOL Date
HW-1001,IoT Gateway (LoRaWAN),G-NetTrack Kit,Ericsson,Site B (Field),2028-08-29
HW-1002,Edge Compute Unit,Catalyst IR1101,Texas Instruments,Data Center JKT,2026-08-23
HW-1003,5G Core Server,IWR6843,Texas Instruments,Base Station C,2026-10-22
HW-1004,Drive Test Equipment,IWR6843,Ericsson,Site A (Remote),2027-11-20
HW-1005,Edge Compute Unit,IWR6843,Texas Instruments,Site B (Field),2026-05-22
HW-1006,mmWave Radar Node,Catalyst IR1101,Ericsson,Rawa Lakbok Site,2026-02-01
HW-1007,mmWave Radar Node,RAK7249,Cisco,Base Station C,2027-08-08
HW-1008,mmWave Radar Node,G-NetTrack Kit,Cisco,Data Center JKT,2028-09-24
HW-1009,mmWave Radar Node,Catalyst IR1101,Texas Instruments,Site B (Field),2028-12-07
HW-1010,mmWave Radar Node,G-NetTrack Kit,Texas Instruments,Site A (Remote),2025-09-09
HW-1011,IoT Gateway (LoRaWAN),IWR6843,Rak Wireless,Rawa Lakbok Site,2025-08-29
HW-1012,Drive Test Equipment,RAK7249,Rak Wireless,Rawa Lakbok Site,2025-10-08
HW-1013,mmWave Radar Node,IWR6843,Ericsson,Base Station C,2028-09-26
HW-1014,5G Core Server,Catalyst IR1101,Rak Wireless,Site B (Field),2028-10-17
HW-1015,Edge Compute Unit,PowerEdge R740,Rak Wireless,Data Center JKT,2026-08-15
HW-1016,Drive Test Equipment,Catalyst IR1101,Texas Instruments,Base Station C,2029-02-15
HW-1017,5G Core Server,PowerEdge R740,Texas Instruments,Data Center JKT,2027-06-21
HW-1018,Edge Compute Unit,Catalyst IR1101,Dell,Rawa Lakbok Site,2028-06-09
HW-1019,Edge Compute Unit,Catalyst IR1101,Ericsson,Site B (Field),2027-09-18
HW-1020,IoT Gateway (LoRaWAN),G-NetTrack Kit,Rak Wireless,Site A (Remote),2027-06-07
HW-1021,IoT Gateway (LoRaWAN),G-NetTrack Kit,Dell,Site B (Field),2029-05-18
HW-1022,5G Core Server,Catalyst IR1101,Texas Instruments,Site B (Field),2027-05-16
